"x" "y"
"171" 334990 4808920
"172" 335010 4808920
"173" 335030 4808920
"174" 335050 4808920
"175" 335070 4808920
"176" 335090 4808920
"177" 335110 4808920
"178" 334250 4808900
"179" 334270 4808900
"180" 334290 4808900
"181" 334310 4808900
"182" 334330 4808900
"183" 334350 4808900
"184" 334370 4808900
"185" 334390 4808900
"186" 334410 4808900
"187" 334430 4808900
"188" 334450 4808900
"189" 334470 4808900
"190" 334490 4808900
"191" 334510 4808900
"192" 334530 4808900
"193" 334550 4808900
"194" 334570 4808900
"195" 334590 4808900
"196" 334610 4808900
"197" 334630 4808900
"198" 334650 4808900
"199" 334670 4808900
"200" 334690 4808900
"201" 334710 4808900
"202" 334730 4808900
"203" 334750 4808900
"204" 334770 4808900
"205" 334790 4808900
"206" 334810 4808900
"207" 334830 4808900
"208" 334850 4808900
"209" 334870 4808900
"210" 334890 4808900
"211" 334910 4808900
"212" 334930 4808900
"213" 334950 4808900
"214" 334970 4808900
"215" 334990 4808900
"216" 335010 4808900
"217" 335030 4808900
"218" 335050 4808900
"219" 335070 4808900
"220" 335090 4808900
"221" 335110 4808900
"222" 334210 4808880
"223" 334230 4808880
"224" 334250 4808880
"225" 334270 4808880
"226" 334290 4808880
"227" 334310 4808880
"228" 334330 4808880
"229" 334350 4808880
"230" 334370 4808880
"231" 334390 4808880
"232" 334410 4808880
"233" 334430 4808880
"234" 334450 4808880
"235" 334470 4808880
"236" 334490 4808880
"237" 334510 4808880
"238" 334530 4808880
"239" 334550 4808880
"240" 334570 4808880
"241" 334590 4808880
"242" 334610 4808880
"243" 334630 4808880
"244" 334650 4808880
"245" 334670 4808880
"246" 334690 4808880
"247" 334710 4808880
"248" 334730 4808880
"249" 334750 4808880
"250" 334770 4808880
"251" 334790 4808880
"252" 334810 4808880
"253" 334830 4808880
"254" 334850 4808880
"255" 334870 4808880
"256" 334890 4808880
"257" 334910 4808880
"258" 334930 4808880
"259" 334950 4808880
"260" 334970 4808880
"261" 334990 4808880
"262" 335010 4808880
"263" 335030 4808880
"264" 335050 4808880
"265" 335070 4808880
"266" 335090 4808880
"267" 335110 4808880
"268" 335130 4808880
"269" 334150 4808860
"270" 334170 4808860
"271" 334190 4808860
"272" 334210 4808860
"273" 334230 4808860
"274" 334250 4808860
"275" 334270 4808860
"276" 334290 4808860
"277" 334310 4808860
"278" 334330 4808860
"279" 334350 4808860
"280" 334370 4808860
"281" 334390 4808860
"282" 334410 4808860
"283" 334430 4808860
"284" 334450 4808860
"285" 334470 4808860
"286" 334490 4808860
"287" 334510 4808860
"288" 334530 4808860
"289" 334550 4808860
"290" 334570 4808860
"291" 334590 4808860
"292" 334610 4808860
"293" 334630 4808860
"294" 334650 4808860
"295" 334670 4808860
"296" 334690 4808860
"297" 334710 4808860
"298" 334730 4808860
"299" 334750 4808860
"300" 334770 4808860
"301" 334790 4808860
"302" 334810 4808860
"303" 334830 4808860
"304" 334850 4808860
"305" 334870 4808860
"306" 334890 4808860
"307" 334910 4808860
"308" 334930 4808860
"309" 334950 4808860
"310" 334970 4808860
"311" 334990 4808860
"312" 335010 4808860
"313" 335030 4808860
"314" 335050 4808860
"315" 335070 4808860
"316" 335090 4808860
"317" 335110 4808860
"318" 335130 4808860
"319" 335150 4808860
